caseid,citizenship_status,age,sex,province,education,agegroup,citizenship
1492,Canadian citizen,69.2,Male,Nova Scotia,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1493,Canadian citizen,75.3,Female,Quebec,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1494,Canadian citizen,40.8,Female,Nova Scotia,"NA",41 to 50,Canadian citizen
1495,Canadian citizen,29.2,Male,New Brunswick,Trade certificate or diploma,21 to 30,Canadian citizen
1496,Canadian citizen,60.7,Male,Newfoundland and Labrador,Trade certificate or diploma,61 to 70,Canadian citizen
1497,Canadian citizen,69.8,Female,Quebec,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1498,Other,31.2,Male,Saskatchewan,Trade certificate or diploma,31 to 40,Other
1499,Other,51.3,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Other
1500,Canadian citizen,59.8,Female,British Columbia,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
1501,Canadian citizen,64.3,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
1502,Canadian citizen,33.6,Male,New Brunswick,"University certificate, diploma or degree above the bach...",31 to 40,Canadian citizen
1503,Canadian citizen,74.8,Male,British Columbia,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1504,Canadian citizen,79.4,Male,Manitoba,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
1505,Canadian citizen,68.3,Male,British Columbia,Trade certificate or diploma,61 to 70,Canadian citizen
1506,Canadian citizen,63.1,Female,Saskatchewan,Trade certificate or diploma,61 to 70,Canadian citizen
1507,Other,67.4,Male,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Other
1508,Canadian citizen,72.3,Male,Saskatchewan,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
1509,Permanent resident,45.9,Female,Ontario,Trade certificate or diploma,41 to 50,Permanent resident
1510,Canadian citizen,24.6,Female,Quebec,Trade certificate or diploma,21 to 30,Canadian citizen
1511,Canadian citizen,68.7,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
1512,Canadian citizen,42.5,Male,British Columbia,Trade certificate or diploma,41 to 50,Canadian citizen
1513,Canadian citizen,31.3,Male,Prince Edward Island,Trade certificate or diploma,31 to 40,Canadian citizen
1514,Canadian citizen,40.9,Female,Manitoba,"University certificate, diploma or degree above the bach...",41 to 50,Canadian citizen
1515,Canadian citizen,35.2,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
1516,Canadian citizen,80,Female,Saskatchewan,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1517,Permanent resident,18.5,Male,British Columbia,Less than high school diploma or its equivalent,20 or less,Permanent resident
1518,Permanent resident,79.8,Female,Ontario,"NA",71 to 80,Permanent resident
1519,Canadian citizen,50.9,Male,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
1520,Canadian citizen,70.3,Female,Manitoba,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1521,Canadian citizen,80,Female,Ontario,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
1522,Canadian citizen,38.3,Male,Alberta,Trade certificate or diploma,31 to 40,Canadian citizen
1523,Permanent resident,45.7,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Permanent resident
1524,Canadian citizen,45.9,Male,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
1525,Canadian citizen,39.4,Female,Quebec,Trade certificate or diploma,31 to 40,Canadian citizen
1526,Canadian citizen,31.8,Female,Ontario,Trade certificate or diploma,31 to 40,Canadian citizen
1527,Permanent resident,26.4,Female,Ontario,University certificate or diploma below the bachelor's level,21 to 30,Permanent resident
1528,Canadian citizen,40.3,Male,Quebec,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
1529,Canadian citizen,50.8,Female,Prince Edward Island,Trade certificate or diploma,51 to 60,Canadian citizen
1530,Canadian citizen,75.2,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
1531,Canadian citizen,23.3,Female,Manitoba,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
1532,Canadian citizen,56.3,Male,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
1533,Canadian citizen,34.7,Female,British Columbia,"University certificate, diploma or degree above the bach...",31 to 40,Canadian citizen
1534,Other,44.3,Female,British Columbia,"University certificate, diploma or degree above the bach...",41 to 50,Other
1535,Canadian citizen,68.6,Female,Nova Scotia,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1536,Canadian citizen,45.8,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
1537,Permanent resident,75.8,Male,Ontario,"University certificate, diploma or degree above the bach...",71 to 80,Permanent resident
1538,Permanent resident,65.7,Male,Ontario,Trade certificate or diploma,61 to 70,Permanent resident
1539,Canadian citizen,65.1,Female,Ontario,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
1540,Other,35.9,Male,Ontario,"University certificate, diploma or degree above the bach...",31 to 40,Other
1541,Canadian citizen,47.5,Male,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
1542,Permanent resident,41.8,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Permanent resident
1543,Canadian citizen,38.2,Female,Ontario,Trade certificate or diploma,31 to 40,Canadian citizen
1544,Permanent resident,23.4,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Permanent resident
1545,Canadian citizen,70.8,Female,Ontario,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1546,Canadian citizen,64.4,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
1547,Canadian citizen,22.8,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Canadian citizen
1548,Canadian citizen,75.1,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
1549,Canadian citizen,56.3,Female,Quebec,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
1550,Canadian citizen,68.3,Female,Nova Scotia,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1551,Canadian citizen,33,Male,Quebec,Trade certificate or diploma,31 to 40,Canadian citizen
1552,Other,33.3,Female,British Columbia,"University certificate, diploma or degree above the bach...",31 to 40,Other
1553,Permanent resident,47.8,Female,Alberta,Trade certificate or diploma,41 to 50,Permanent resident
1554,Canadian citizen,72.3,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
1555,Other,45.4,Male,Quebec,High school diploma or a high school equivalency certificate,41 to 50,Other
1556,Permanent resident,43.2,Male,British Columbia,High school diploma or a high school equivalency certificate,41 to 50,Permanent resident
1557,Canadian citizen,54.6,Female,British Columbia,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
1558,Permanent resident,76.3,Male,Ontario,High school diploma or a high school equivalency certificate,71 to 80,Permanent resident
1559,Canadian citizen,61.9,Male,Quebec,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
1560,Canadian citizen,55.8,Female,Ontario,Trade certificate or diploma,51 to 60,Canadian citizen
1561,Permanent resident,54.4,Female,Quebec,Trade certificate or diploma,51 to 60,Permanent resident
1562,Canadian citizen,63.9,Female,Nova Scotia,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
1563,Canadian citizen,54.1,Male,British Columbia,University certificate or diploma below the bachelor's level,51 to 60,Canadian citizen
1564,Canadian citizen,52.4,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
1565,Canadian citizen,40.9,Male,Alberta,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
1566,Canadian citizen,56.2,Female,Newfoundland and Labrador,Trade certificate or diploma,51 to 60,Canadian citizen
1567,Canadian citizen,61.8,Male,Nova Scotia,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
1568,Canadian citizen,80,Female,Alberta,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1569,Canadian citizen,62.3,Female,Quebec,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
1570,Canadian citizen,68.3,Female,Alberta,University certificate or diploma below the bachelor's level,61 to 70,Canadian citizen
1571,Canadian citizen,52.6,Male,Quebec,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
1572,Other,26.6,Female,Manitoba,"NA",21 to 30,Other
1573,Canadian citizen,43.2,Female,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
1574,Canadian citizen,54.2,Female,Quebec,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
1575,Canadian citizen,29,Male,Newfoundland and Labrador,Trade certificate or diploma,21 to 30,Canadian citizen
1576,Permanent resident,66.1,Male,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Permanent resident
1577,Canadian citizen,59.4,Female,Nova Scotia,Trade certificate or diploma,51 to 60,Canadian citizen
1578,Permanent resident,44.5,Male,Quebec,Trade certificate or diploma,41 to 50,Permanent resident
1579,Canadian citizen,21.2,Male,Ontario,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
1580,Canadian citizen,35.3,Female,New Brunswick,Trade certificate or diploma,31 to 40,Canadian citizen
1581,Canadian citizen,60,Male,Alberta,University certificate or diploma below the bachelor's level,51 to 60,Canadian citizen
1582,Canadian citizen,46.1,Female,Newfoundland and Labrador,Trade certificate or diploma,41 to 50,Canadian citizen
1583,Canadian citizen,80,Female,Ontario,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1584,Canadian citizen,36.7,Male,Ontario,Trade certificate or diploma,31 to 40,Canadian citizen
1585,Canadian citizen,64.5,Male,Manitoba,University certificate or diploma below the bachelor's level,61 to 70,Canadian citizen
1586,Canadian citizen,53.3,Female,Ontario,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
1587,Canadian citizen,65.3,Female,Alberta,Trade certificate or diploma,61 to 70,Canadian citizen
1588,Canadian citizen,16,Male,Ontario,Less than high school diploma or its equivalent,20 or less,Canadian citizen
1589,Canadian citizen,80,Male,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
1590,Permanent resident,49.4,Male,Ontario,High school diploma or a high school equivalency certificate,41 to 50,Permanent resident
1591,Canadian citizen,73.3,Female,Prince Edward Island,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1592,Canadian citizen,57.9,Male,Newfoundland and Labrador,Trade certificate or diploma,51 to 60,Canadian citizen
1593,Canadian citizen,60.3,Female,Quebec,Trade certificate or diploma,61 to 70,Canadian citizen
1594,Canadian citizen,40.2,Male,Saskatchewan,Trade certificate or diploma,41 to 50,Canadian citizen
1595,Canadian citizen,20.5,Female,Saskatchewan,"NA",21 to 30,Canadian citizen
1596,Canadian citizen,78.9,Female,New Brunswick,Trade certificate or diploma,71 to 80,Canadian citizen
1597,Canadian citizen,55.6,Male,Alberta,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
1598,Permanent resident,52.1,Male,Ontario,"University certificate, diploma or degree above the bach...",51 to 60,Permanent resident
1599,Canadian citizen,41.6,Male,Saskatchewan,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
1600,Canadian citizen,42.9,Female,Ontario,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
1601,Canadian citizen,26.7,Male,New Brunswick,Trade certificate or diploma,21 to 30,Canadian citizen
1602,Canadian citizen,37,Female,Ontario,Less than high school diploma or its equivalent,31 to 40,Canadian citizen
1603,Permanent resident,70.8,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Permanent resident
1604,Canadian citizen,80,Female,Ontario,Trade certificate or diploma,71 to 80,Canadian citizen
1605,Canadian citizen,66.3,Female,Quebec,Trade certificate or diploma,61 to 70,Canadian citizen
1606,Canadian citizen,80,Male,Newfoundland and Labrador,Trade certificate or diploma,71 to 80,Canadian citizen
1607,Canadian citizen,45.3,Female,Quebec,"University certificate, diploma or degree above the bach...",41 to 50,Canadian citizen
1608,Canadian citizen,42.8,Female,New Brunswick,Trade certificate or diploma,41 to 50,Canadian citizen
1609,Canadian citizen,62.3,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
1610,Other,45,Female,British Columbia,"University certificate, diploma or degree above the bach...",41 to 50,Other
1611,Canadian citizen,16.3,Female,Saskatchewan,Less than high school diploma or its equivalent,20 or less,Canadian citizen
1612,Permanent resident,48.8,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Permanent resident
1613,Permanent resident,36.8,Male,Quebec,High school diploma or a high school equivalency certificate,31 to 40,Permanent resident
1614,Canadian citizen,69.1,Female,Manitoba,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1615,Canadian citizen,46.6,Male,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
1616,Canadian citizen,68.6,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
1617,Canadian citizen,65.4,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1618,Canadian citizen,69.5,Male,Quebec,Trade certificate or diploma,61 to 70,Canadian citizen
1619,Canadian citizen,74,Male,Manitoba,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
1620,Canadian citizen,46.6,Male,Quebec,Less than high school diploma or its equivalent,41 to 50,Canadian citizen
1621,Canadian citizen,72.4,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1622,Canadian citizen,16.8,Female,Saskatchewan,Less than high school diploma or its equivalent,20 or less,Canadian citizen
1623,Canadian citizen,76.1,Male,Ontario,"University certificate, diploma or degree above the bach...",71 to 80,Canadian citizen
1624,Canadian citizen,40.8,Female,Alberta,Trade certificate or diploma,41 to 50,Canadian citizen
1625,Canadian citizen,58.2,Male,Manitoba,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
1626,Canadian citizen,36.6,Male,Alberta,Trade certificate or diploma,31 to 40,Canadian citizen
1627,Canadian citizen,80,Male,New Brunswick,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1628,Canadian citizen,61.5,Female,Ontario,Trade certificate or diploma,61 to 70,Canadian citizen
1629,Other,60.3,Male,British Columbia,"University certificate, diploma or degree above the bach...",61 to 70,Other
1630,Canadian citizen,80,Male,Nova Scotia,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1631,Canadian citizen,20.6,Female,Nova Scotia,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
1632,Canadian citizen,29.3,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Canadian citizen
1633,Canadian citizen,28.7,Male,Ontario,Trade certificate or diploma,21 to 30,Canadian citizen
1634,Other,65.5,Male,Saskatchewan,"NA",61 to 70,Other
1635,Canadian citizen,73.8,Male,Ontario,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
1636,Canadian citizen,55.9,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
1637,Canadian citizen,61.6,Female,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1638,Permanent resident,68.9,Female,Ontario,Trade certificate or diploma,61 to 70,Permanent resident
1639,Canadian citizen,34.3,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
1640,Canadian citizen,80,Female,Quebec,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1641,Canadian citizen,35.8,Female,New Brunswick,"University certificate, diploma or degree above the bach...",31 to 40,Canadian citizen
1642,Canadian citizen,31.4,Female,Ontario,Trade certificate or diploma,31 to 40,Canadian citizen
1643,Other,62,Male,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Other
1644,Canadian citizen,71.3,Male,Prince Edward Island,University certificate or diploma below the bachelor's level,71 to 80,Canadian citizen
1645,Permanent resident,78,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Permanent resident
1646,Canadian citizen,67.3,Male,Alberta,University certificate or diploma below the bachelor's level,61 to 70,Canadian citizen
1647,Canadian citizen,30.1,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
1648,Canadian citizen,51.9,Female,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
1649,Permanent resident,67.9,Male,Ontario,University certificate or diploma below the bachelor's level,61 to 70,Permanent resident
1650,Canadian citizen,50.3,Female,Nova Scotia,Trade certificate or diploma,51 to 60,Canadian citizen
1651,Canadian citizen,56.6,Female,Quebec,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
1652,Canadian citizen,31.2,Female,Alberta,Trade certificate or diploma,31 to 40,Canadian citizen
1653,Canadian citizen,55.1,Male,New Brunswick,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
1654,Canadian citizen,30.3,Female,Newfoundland and Labrador,Trade certificate or diploma,31 to 40,Canadian citizen
1655,Canadian citizen,57.8,Female,Manitoba,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
1656,Permanent resident,75,Male,Ontario,High school diploma or a high school equivalency certificate,71 to 80,Permanent resident
1657,Canadian citizen,50.2,Male,Quebec,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
1658,Permanent resident,62.9,Male,Ontario,Trade certificate or diploma,61 to 70,Permanent resident
1659,Canadian citizen,41.1,Female,Ontario,University certificate or diploma below the bachelor's level,41 to 50,Canadian citizen
1660,Canadian citizen,66.4,Female,British Columbia,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1661,Canadian citizen,46.3,Female,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
1662,Canadian citizen,50.9,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
1663,Canadian citizen,38.8,Male,Newfoundland and Labrador,Trade certificate or diploma,31 to 40,Canadian citizen
1664,Canadian citizen,66.3,Female,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
1665,Canadian citizen,40.3,Male,Nova Scotia,"University certificate, diploma or degree above the bach...",41 to 50,Canadian citizen
1666,Canadian citizen,65.9,Female,New Brunswick,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
1667,Canadian citizen,59.3,Female,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
1668,Canadian citizen,76.2,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
1669,Canadian citizen,64,Male,Ontario,Trade certificate or diploma,61 to 70,Canadian citizen
1670,Canadian citizen,50.4,Female,Quebec,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
1671,Canadian citizen,61.8,Male,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
1672,Canadian citizen,21.3,Male,Manitoba,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
1673,Permanent resident,80,Male,Nova Scotia,Less than high school diploma or its equivalent,71 to 80,Permanent resident
1674,Canadian citizen,40.9,Male,British Columbia,Trade certificate or diploma,41 to 50,Canadian citizen
1675,Canadian citizen,37.5,Female,Prince Edward Island,Trade certificate or diploma,31 to 40,Canadian citizen
1676,Canadian citizen,57,Male,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
1677,Canadian citizen,69.1,Female,Quebec,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1678,Canadian citizen,53,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
1679,Canadian citizen,46.7,Female,Nova Scotia,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
1680,Canadian citizen,39,Female,Quebec,Trade certificate or diploma,31 to 40,Canadian citizen
1681,Canadian citizen,72.7,Female,Ontario,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1682,Canadian citizen,79.9,Male,Manitoba,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1683,Canadian citizen,70.3,Female,Saskatchewan,Trade certificate or diploma,71 to 80,Canadian citizen
1684,Permanent resident,35.8,Male,Alberta,Trade certificate or diploma,31 to 40,Permanent resident
1685,Permanent resident,80,Male,Ontario,High school diploma or a high school equivalency certificate,71 to 80,Permanent resident
1686,Canadian citizen,39.3,Male,Nova Scotia,Trade certificate or diploma,31 to 40,Canadian citizen
1687,Canadian citizen,57.9,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
1688,Canadian citizen,16.4,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,20 or less,Canadian citizen
1689,Canadian citizen,47.3,Male,Quebec,Less than high school diploma or its equivalent,41 to 50,Canadian citizen
1690,Canadian citizen,58.3,Female,Quebec,Trade certificate or diploma,51 to 60,Canadian citizen
1691,Canadian citizen,47.2,Male,British Columbia,Trade certificate or diploma,41 to 50,Canadian citizen
1692,Permanent resident,70.6,Female,Manitoba,Trade certificate or diploma,71 to 80,Permanent resident
1693,Canadian citizen,65.5,Male,Quebec,Trade certificate or diploma,61 to 70,Canadian citizen
1694,Canadian citizen,67.4,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1695,Canadian citizen,73.9,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
1696,Permanent resident,75.3,Male,New Brunswick,Trade certificate or diploma,71 to 80,Permanent resident
1697,Permanent resident,68.8,Female,British Columbia,"University certificate, diploma or degree above the bach...",61 to 70,Permanent resident
1698,Canadian citizen,19.9,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,20 or less,Canadian citizen
1699,Canadian citizen,68.3,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1700,Canadian citizen,24.8,Female,British Columbia,Trade certificate or diploma,21 to 30,Canadian citizen
1701,Permanent resident,42.2,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Permanent resident
1702,Canadian citizen,47.3,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
1703,Canadian citizen,49.2,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
1704,Canadian citizen,60.4,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1705,Canadian citizen,30.8,Male,Alberta,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
1706,Permanent resident,80,Female,Ontario,"University certificate, diploma or degree above the bach...",71 to 80,Permanent resident
1707,Canadian citizen,31.8,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",31 to 40,Canadian citizen
1708,Canadian citizen,72.8,Female,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
1709,Canadian citizen,67.7,Female,British Columbia,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
1710,Canadian citizen,75.4,Male,Newfoundland and Labrador,Trade certificate or diploma,71 to 80,Canadian citizen
1711,Canadian citizen,22.3,Female,Newfoundland and Labrador,Trade certificate or diploma,21 to 30,Canadian citizen
1712,Canadian citizen,20.3,Male,Manitoba,Trade certificate or diploma,21 to 30,Canadian citizen
1713,Canadian citizen,80,Female,Manitoba,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1714,Canadian citizen,58.3,Female,British Columbia,Trade certificate or diploma,51 to 60,Canadian citizen
1715,Canadian citizen,37.5,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
1716,Canadian citizen,25.5,Female,Ontario,Trade certificate or diploma,21 to 30,Canadian citizen
1717,Canadian citizen,60,Male,Ontario,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
1718,Canadian citizen,34.3,Male,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
1719,Canadian citizen,36.8,Female,Ontario,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
1720,Canadian citizen,24.8,Female,Nova Scotia,Trade certificate or diploma,21 to 30,Canadian citizen
1721,Permanent resident,58.3,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Permanent resident
1722,Canadian citizen,67.5,Male,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
1723,Permanent resident,51.8,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Permanent resident
1724,Canadian citizen,74.9,Female,British Columbia,Trade certificate or diploma,71 to 80,Canadian citizen
1725,Canadian citizen,52,Male,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
1726,Canadian citizen,33.8,Female,Newfoundland and Labrador,Trade certificate or diploma,31 to 40,Canadian citizen
1727,Canadian citizen,39.4,Female,Ontario,"University certificate, diploma or degree above the bach...",31 to 40,Canadian citizen
1728,Canadian citizen,54.7,Female,British Columbia,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
1729,Canadian citizen,63.8,Female,Quebec,Trade certificate or diploma,61 to 70,Canadian citizen
1730,Other,33,Male,British Columbia,"University certificate, diploma or degree above the bach...",31 to 40,Other
1731,Other,34.3,Male,Ontario,"University certificate, diploma or degree above the bach...",31 to 40,Other
1732,Canadian citizen,54.7,Male,Alberta,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
1733,Other,36,Female,Saskatchewan,Trade certificate or diploma,31 to 40,Other
1734,Canadian citizen,31.9,Male,Ontario,Trade certificate or diploma,31 to 40,Canadian citizen
1735,Canadian citizen,80,Female,Manitoba,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
1736,Other,38.8,Male,Ontario,Trade certificate or diploma,31 to 40,Other
1737,Permanent resident,79,Male,British Columbia,Less than high school diploma or its equivalent,71 to 80,Permanent resident
1738,Permanent resident,51.2,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Permanent resident
1739,Canadian citizen,49.7,Female,Alberta,Trade certificate or diploma,41 to 50,Canadian citizen
1740,Canadian citizen,42.2,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
1741,Canadian citizen,72.2,Female,Quebec,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
1742,Permanent resident,74.4,Female,Ontario,Less than high school diploma or its equivalent,71 to 80,Permanent resident
1743,Canadian citizen,58.3,Female,Newfoundland and Labrador,Trade certificate or diploma,51 to 60,Canadian citizen
1744,Canadian citizen,58.8,Male,Quebec,Trade certificate or diploma,51 to 60,Canadian citizen
1745,Permanent resident,60.2,Female,Ontario,Less than high school diploma or its equivalent,61 to 70,Permanent resident
1746,Canadian citizen,52.4,Female,Quebec,Trade certificate or diploma,51 to 60,Canadian citizen
1747,Canadian citizen,48.9,Female,Ontario,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
1748,Canadian citizen,42.4,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
